#name, A, B
NODE_0000234, 0.999999999999511, 4.890007079453677e-13
EPI_ISL_63944|224088|A/Houston/6OS/2009||2009-05-20, 1.0, 0.0
EPI_ISL_63941|224064|A/Houston/3H/2009|harvest-Rh1|2009-05-18, 1.0, 0.0
NODE_0000236, 0.9999999999965361, 3.4639236021828086e-12
NODE_0000238, 0.999999999999511, 4.890007079453677e-13
EPI_ISL_63945|224096|A/Houston/6H/2009|harvest-Rh1|2009-05-20, 1.0, 0.0
EPI_ISL_63942|224072|A/Houston/5OS/2009||2009-05-19, 1.0, 0.0
NODE_0000239, 0.999999999999511, 4.890007079453677e-13
EPI_ISL_63939|224048|A/Houston/2OS/2009||2009-05-18, 1.0, 0.0
EPI_ISL_62456|217463|A/Houston/2H/2009|harvest-Rh1|2009-05-18, 1.0, 0.0
NODE_0000592, 0.9999999575615215, 4.243847852176047e-08
NODE_0000867, 0.9999999989473095, 1.0526903028409083e-09
EPI_ISL_62625|218570|A/Wisconsin/629-D00022/2009|P0|2009-06-02, 1.0, 0.0
EPI_ISL_62666|218898|A/Wisconsin/629-D01844/2009|P0|2009-06-15, 1.0, 0.0
NODE_0000594, 0.9999999927634191, 7.236580781479482e-09
NODE_0000859, 0.9999999999649773, 3.502267195089947e-11
EPI_ISL_61329|213009|A/New_York/3967/2009||2009-06-09, 1.0, 0.0
EPI_ISL_63822|223209|A/New_York/3969/2009||2009-06-09, 1.0, 0.0
NODE_0000240, 0.9999999940746965, 5.92530352555411e-09
EPI_ISL_62660|218850|A/Wisconsin/629-D01619/2009|P0|2009-06-15, 1.0, 0.0
NODE_0000241, 0.9999999986602114, 1.339788638055783e-09
EPI_ISL_62676|218978|A/Wisconsin/629-D02220/2009|P0|2009-06-21, 1.0, 0.0
NODE_0000242, 0.9999999997073041, 2.926957708584902e-10
EPI_ISL_35026|194290|A/Washington/37/2009|C1|2009-06-24, 0.9999999999999999, 0.0
NODE_0000243, 0.999999999461741, 5.382591092246208e-10
NODE_0000860, 0.9999957852736203, 4.214726379726292e-06
EPI_ISL_73479|252586|A/Pensacola/INS107/2009|P0|2009-11-12, 1.0, 0.0
EPI_ISL_89609|315427|A/Boston/594/2009||2009-10-22, 1.0, 0.0
NODE_0000246, 0.9999999999965049, 3.4951580276184203e-12
NODE_0000247, 0.9999999999995111, 4.890012418042415e-13
EPI_ISL_31567|184346|A/Pennsylvania/10/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30685|181669|A/New_York/3181/2009||2009-04-28, 1.0, 0.0
NODE_0000248, 0.9999999999977548, 2.2452997801298765e-12
EPI_ISL_31566|221098|A/Louisiana/01/2009|C1|2009-04-28, 1.0, 0.0
NODE_0000249, 0.9999999999825411, 1.7458877899502498e-11
NODE_0000250, 0.9999999999965355, 3.464407326467616e-12
NODE_0000251, 0.999999999999511, 4.890007162131842e-13
EPI_ISL_31569|184350|A/Indiana/12/2009|C1|2009-04-29, 1.0, 0.0
EPI_ISL_30711|181797|A/Louisiana/04/2009|C1|2009-04-30, 1.0, 0.0
NODE_0000252, 0.999999999999511, 4.890007162131842e-13
EPI_ISL_31570|184353|A/Louisiana/02/2009|C1|2009-04-29, 1.0, 0.0
EPI_ISL_60823|211487|A/Pennsylvania/07/2009|C1|2009-04-30, 1.0, 0.0
NODE_0000253, 0.9999999999787839, 2.1216000275461164e-11
EPI_ISL_30968|182745|A/New_York/3177/2009||2009-05-02, 1.0, 0.0
NODE_0000256, 0.9999999996317226, 3.6827745548114726e-10
NODE_0000257, 0.9999999999995048, 4.952361017005326e-13
EPI_ISL_31156|183113|A/Arkansas/03/2009|C2|2009-05-07, 1.0, 0.0
EPI_ISL_61574|214466|A/Wisconsin/629-D01313/2009|MDCK1|2009-05-08, 1.0, 0.0
NODE_0000258, 0.9999999998133734, 1.866266169508931e-10
